Capabilities,Position,Salience,Actors,Abbr
0.972,89.6,100,Argentina,ARG
0.889,1.3,100,Australia,AUS
1.182,2.8,100,Belgium,BEL
0.993,89.6,100,Brazil,BRA
0.345,-100,100,Bulgaria,BUL
1.61,56.2,100,Canada,CAN
11.941,1.3,100,China,CHN
1.401,-91,100,Czechoslovakia,CZE
0.24,1.3,100,Denmark,DEN
0.408,3.2,100,Egypt,EGY
7.863,3.6,100,England,ENG
3.597,2.8,100,France,FRN
0.418,1.3,100,Greece,GRC
0.45,-91,100,Hungary,HUN
2.468,1.3,100,India,IND
0.491,2.4,100,Iran,IRN
0.157,3.7,100,Iraq,IRQ
0.125,1.3,100,Israel,ISR
2.426,1.3,100,Italy,ITL
0.774,89.6,100,Mexico,MEX
0.23,1.3,100,Norway,NOR
0.836,2.8,100,The_Netherlands,NTH
1.485,1.3,100,Pakistan,PAK
0.408,1.3,100,The_Philippines,PHL
3.273,-91,100,Poland,POL
0.606,-91,100,Romania,ROM
0.125,2.8,100,Saudi_Arabia,SAU
0.68,1.3,100,South_Africa,SAF
18.256,-100,100,Soviet_Union,RUS
1.683,1.3,100,Spain,SPN
0.648,1.3,100,Sweden,SWE
0.104,2.8,100,Syria,SYR
0.414,1.3,100,Thailand,THI
1.347,2.4,100,Turkey,TUR
29.956,100,100,United_States,USA
0.891,-100,100,Yugoslavia,YUG
